county_geoid,county_name,NAME,state_po,congressional_district_count,congressional_districts,elected_representatives,representative_parties,total_population,total_households,median_household_income,poverty_rate,county_rural_share,cws_service_area_count,cws_component_count,cws_service_area_sq_km,estimated_cws_service_population,estimated_cws_service_households,estimated_service_area_median_household_income,vulnerable_block_group_count
27045,Fillmore County,"Fillmore County, Minnesota",MN,1,MN-01,BRAD FINSTAD,REPUBLICAN,21414,8723,77512,8.385954841178721,1,14,74,23.860490560980207,6598,2736,78750.52975238394,0
46003,Aurora County,"Aurora County, South Dakota",SD,1,SD-AL,DUSTY JOHNSON,REPUBLICAN,2642,1064,72885,10.60428849902534,1,4,17,1243.3958540644658,2087,808,72885,0
26005,Allegan County,"Allegan County, Michigan",MI,1,MI-04,BILL HUIZENGA,REPUBLICAN,121456,45522,83283,8.373926393095722,0.6757813148329488,38,186,32.56900657605724,7822,2853,87502.72759463768,1
13257,Stephens County,"Stephens County, Georgia",GA,1,GA-09,ANDREW S. CLYDE,REPUBLICAN,27012,10524,54754,15.753900818785725,0.5591771206690561,3,21,13.316055141867144,836,350,48475.466006507304,1
26065,Ingham County,"Ingham County, Michigan",MI,1,MI-07,TOM BARRETT,REPUBLICAN,283913,117096,65526,16.686130126055627,0.1456756756756757,12,81,12.925727639183592,5322,2062,91997.90948462024,0
46027,Clay County,"Clay County, South Dakota",SD,1,SD-AL,DUSTY JOHNSON,REPUBLICAN,15219,5547,56850,19.73467305125991,0.22101957640141645,4,11,1.156458803825867,188,77,84899,0
26129,Ogemaw County,"Ogemaw County, Michigan",MI,1,MI-01,JACK BERGMAN,REPUBLICAN,20885,9370,54666,16.663427905169062,1,5,27,7.087077011816148,2119,967,49112.9411783214,4
13293,Upson County,"Upson County, Georgia",GA,1,GA-03,BRIAN JACK,REPUBLICAN,28029,10595,55429,19.32939579588393,0.46696750902527073,7,51,4.811469963513424,1139,425,35872.386120888696,1
46109,Roberts County,"Roberts County, South Dakota",SD,1,SD-AL,DUSTY JOHNSON,REPUBLICAN,10221,3625,65130,15.721442885771543,1,9,34,7.651455048553578,2680,941,56560.485891232696,2
13147,Hart County,"Hart County, Georgia",GA,1,GA-10,MIKE COLLINS,REPUBLICAN,26939,11034,59385,11.852445258258946,0.7691265293479944,18,80,14.91387447531645,1161,521,63422.288807275574,1
46013,Brown County,"Brown County, South Dakota",SD,1,SD-AL,DUSTY JOHNSON,REPUBLICAN,37877,16285,70898,11.717391304347826,0.2694185530403906,17,41,14.916300478994831,2133,871,84995.18317170492,0
13095,Dougherty County,"Dougherty County, Georgia",GA,1,GA-02,"SANFORD D. BISHOP, JR.",DEMOCRAT,83091,34280,49044,25.03202310686927,0.14350157360997784,4,13,1.6238263609370824,415,193,68627,0
13059,Clarke County,"Clarke County, Georgia",GA,1,GA-10,MIKE COLLINS,REPUBLICAN,129609,54454,53625,26.04506187838823,0.05924411872139021,18,87,24.58831363595938,4091,1739,63258.816847035065,2
27115,Pine County,"Pine County, Minnesota",MN,1,MN-08,PETE STAUBER,REPUBLICAN,29640,12323,71146,11.12726499060317,1,14,55,18.37260574090404,2809,1102,63944.28236979204,1
13017,Ben Hill County,"Ben Hill County, Georgia",GA,1,GA-08,AUSTIN SCOTT,REPUBLICAN,17089,7082,41758,25.153961136023916,0.343899034546935,0,0,0,0,0,NA,0
26131,Ontonagon County,"Ontonagon County, Michigan",MI,1,MI-01,JACK BERGMAN,REPUBLICAN,5850,3149,54398,12.521529452290734,1,5,32,8.268830155217989,1023,566,55544.55376000707,0
13037,Calhoun County,"Calhoun County, Georgia",GA,1,GA-02,"SANFORD D. BISHOP, JR.",DEMOCRAT,5498,1593,46940,22.832980972515855,1,4,18,12.657272380386297,2405,753,47106.22405990445,1
13225,Peach County,"Peach County, Georgia",GA,1,GA-02,"SANFORD D. BISHOP, JR.",DEMOCRAT,28560,10598,71293,17.336191285709006,0.4004145670276259,2,9,1.8755376050130264,904,377,68860.02694791777,0
27135,Roseau County,"Roseau County, Minnesota",MN,1,MN-07,MICHELLE FISCHBACH,REPUBLICAN,15302,6296,74474,12.162431159179881,1,12,51,15.548987669516155,4094,1717,66226.22541773961,1
13093,Dooly County,"Dooly County, Georgia",GA,1,GA-02,"SANFORD D. BISHOP, JR.",DEMOCRAT,10984,4031,60987,15.731650303880318,1,5,29,20.436825287271866,2856,1166,60248.94716745789,1
27165,Watonwan County,"Watonwan County, Minnesota",MN,1,MN-01,BRAD FINSTAD,REPUBLICAN,11205,4227,71699,13.190489105867462,1,7,18,6.367702941381523,2044,758,81469.95423001752,0
13207,Monroe County,"Monroe County, Georgia",GA,1,GA-08,AUSTIN SCOTT,REPUBLICAN,29664,10554,83183,12.323396439672225,0.8183639160138785,1,6,2.183467530726831,237,98,95455,0
46119,Sully County,"Sully County, South Dakota",SD,1,SD-AL,DUSTY JOHNSON,REPUBLICAN,1526,637,72578,6.319947333772219,1,3,39,2.145095040718603,222,98,72578,0
27131,Rice County,"Rice County, Minnesota",MN,2,MN-02 / MN-01,ANGIE CRAIG / BRAD FINSTAD,DEMOCRAT / REPUBLICAN,67917,23493,83181,10.204183101859524,0.321877282143762,11,40,8.072490991434298,3723,911,91341.77697379702,0
13055,Chattooga County,"Chattooga County, Georgia",GA,1,GA-14,MARJORIE TAYLOR GREENE,REPUBLICAN,25036,9154,50285,21.197252208047104,0.5903464850791108,3,17,11.856537566483548,1424,498,51933.888953200054,4
46005,Beadle County,"Beadle County, South Dakota",SD,1,SD-AL,DUSTY JOHNSON,REPUBLICAN,19309,7536,67681,13.610715604071085,0.25353804376207634,10,52,35.911488652629856,379,160,84237.89535795963,0
27159,Wadena County,"Wadena County, Minnesota",MN,1,MN-07,MICHELLE FISCHBACH,REPUBLICAN,14256,6081,61467,12.475759534583064,0.7184500533238536,4,17,10.049630108233174,1642,673,64999.65611275711,2
